907
1018
+-------------+------------------------+------------------------------------------+------------------------+----------------+

| server_from | instanceid             | instance_name                            | public_ip              | inner_ip       |
| aliyun      | i-wz9bkd2934odus4czmkg | HT_ceshi_01                              | 112.74.95.130          | 10.24.222.133  |

| aliyun      | i-wz91skfof1ap61iffl4x | HT_ceshi_02                              | 120.76.194.194         | 10.46.126.3    |

| aliyun      | i-wz9bts6ntyr2ucgou2ge | HT_ceshi_03                              | 120.76.194.200         | 10.46.126.243  |

| aliyun      | i-j6c844kjiz7oc2x8q6wk | HT_FANQIANG_Server                       | 47.75.45.232(弹性IP)   | 172.31.81.143  |

| aliyun      | i-j6cc7whwj30hupj94u7e | Salt_HK_proxy_Master                     | 47.90.66.35            | 10.28.187.66   |

| aliyun      | i-j6c55x3wrnc2v1mddlor | HK_proxy_FUJIAN_CDN_HK                   | 47.91.165.148          | 10.30.73.129   |

| aliyun      | i-bp11ankstd3dlj0jgyav | Game_Online_elastic_1                    | 116.62.169.59          | 10.112.61.140  |

| aliyun      | i-bp11ankstd3dlj0jgyaw | Game_Online_elastic_2                    | 47.96.189.204          | 10.112.61.139  |

| aliyun      | i-bp11ankstd3dlj0jgyau | Game_Online_elastic_3                    | 47.96.144.46           | 10.112.61.138  |

| aliyun      | i-bp1c6ktbhty5ar75p7j1 | Game_Online_kafka_1                      | 116.62.243.242         | 10.112.61.143  |

| aliyun      | i-bp1c6ktbhty5ar75p7j0 | Game_Online_kafka_2                      | 116.62.59.39           | 10.112.61.142  |

| aliyun      | i-bp1c6ktbhty5ar75p7iz | Game_Online_kafka_3                      | 47.96.155.234          | 10.112.61.141  |

| aliyun      | i-bp1b3q0bbkd1brz661hq | Game_Online_zookeeper_1                  | 47.96.145.167          | 10.112.61.146  |

| aliyun      | i-bp1b3q0bbkd1brz661hr | Game_Online_zookeeper_3                  | 47.97.100.76           | 10.112.61.145  |

| aliyun      | i-bp10e8of94fg05kt4li8 | Game_Online_logstash                     | 47.97.103.172          | 10.112.61.147  |

| aliyun      | i-bp12dfm2e53pd7uwl0bf | Game_Online_zookeeper_2                  | 47.96.24.172           | 10.112.61.148  |

